[Tue Feb 19 17:39:34.939404 2019] [php7:error] [pid 12283] [client 94.168.14.230:55072] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/csv-exporter/vendor/symfony/symfony/src/Symfony/Component/Debug/ErrorHandler.php on line 612
[Tue Feb 19 22:38:07.900658 2019] [php7:error] [pid 12285] [client 62.195.36.40:28032] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 20480 bytes) in /var/www/html/csv-exporter/src/AppBundle/Manager/CsvExporterManager.php on line 54
[Tue Feb 19 22:38:07.906290 2019] [php7:error] [pid 12285] [client 62.195.36.40:28032] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 73728 bytes) in /var/www/html/csv-exporter/vendor/composer/ClassLoader.php on line 444
[Tue Feb 19 22:38:15.113186 2019] [php7:error] [pid 21884] [client 62.195.36.40:28033] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 20480 bytes) in /var/www/html/csv-exporter/src/AppBundle/Manager/CsvExporterManager.php on line 54
[Tue Feb 19 22:38:15.116810 2019] [php7:error] [pid 21884] [client 62.195.36.40:28033] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 32768 bytes) in /var/www/html/csv-exporter/vendor/symfony/symfony/src/Symfony/Component/Debug/Exception/OutOfMemoryException.php on line 1
[Tue Feb 19 22:40:26.026043 2019] [php7:error] [pid 12282] [client 62.195.36.40:28107] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 20480 bytes) in /var/www/html/csv-exporter/src/AppBundle/Manager/CsvExporterManager.php on line 54
[Tue Feb 19 22:40:26.035352 2019] [php7:error] [pid 12282] [client 62.195.36.40:28107] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 73728 bytes) in /var/www/html/csv-exporter/vendor/composer/ClassLoader.php on line 444
[Tue Feb 19 22:40:37.068832 2019] [php7:error] [pid 12283] [client 62.195.36.40:28112] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 4096 bytes) in /var/www/html/csv-exporter/src/AppBundle/Manager/CsvExporterManager.php on line 54
[Tue Feb 19 22:40:37.085950 2019] [php7:error] [pid 12283] [client 62.195.36.40:28112] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 32768 bytes) in /var/www/html/csv-exporter/vendor/symfony/symfony/src/Symfony/Component/Debug/Exception/OutOfMemoryException.php on line 1
[Sun Mar 10 19:14:42.589747 2019] [php7:warn] [pid 30313] [client 77.248.126.76:49411] PHP Warning:  Uncaught ErrorException: Catchable Fatal Error: Object of class Money\\Money could not be converted to string in /var/www/html/csv-exporter/vendor/league/csv/src/Stream.php:306\nStack trace:\n#0 /var/www/html/csv-exporter/vendor/league/csv/src/Writer.php(131): League\\Csv\\Stream->fputcsv(Array, ',', '"', '\\\\')\n#1 /var/www/html/csv-exporter/src/AppBundle/Manager/CsvExporterManager.php(148): League\\Csv\\Writer->insertOne(Array)\n#2 /var/www/html/csv-exporter/src/AppBundle/Manager/CsvExporterManager.php(26): AppBundle\\Manager\\CsvExporterManager::generateCsv(Array, Array, Array)\n#3 /var/www/html/csv-exporter/src/AppBundle/Controller/DefaultController.php(53): AppBundle\\Manager\\CsvExporterManager::getCsv(Array, Array)\n#4 /var/www/html/csv-exporter/vendor/symfony/symfony/src/Symfony/Component/HttpKernel/HttpKernel.php(151): AppBundle\\Controller\\DefaultController->getAction(Object(Symfony\\Component\\HttpFoundation\\Request))\n#5 /var/www/html/csv-exporter/vendor/symfony/symfony/src/Symfony/Component/HttpKernel/HttpKernel.php in /var/www/html/csv-exporter/vendor/league/csv/src/Stream.php on line 306
[Sun Mar 10 19:14:42.590571 2019] [php7:error] [pid 30313] [client 77.248.126.76:49411] PHP Fatal error:  Object of class Money\\Money could not be converted to string in /var/www/html/csv-exporter/vendor/league/csv/src/Stream.php on line 306
[Sun Mar 10 19:15:48.105045 2019] [php7:warn] [pid 867] [client 139.162.224.185:49780] PHP Warning:  Uncaught ErrorException: Catchable Fatal Error: Object of class Money\\Money could not be converted to string in /var/www/html/csv-exporter/vendor/league/csv/src/Stream.php:306\nStack trace:\n#0 /var/www/html/csv-exporter/vendor/league/csv/src/Writer.php(131): League\\Csv\\Stream->fputcsv(Array, ',', '"', '\\\\')\n#1 /var/www/html/csv-exporter/src/AppBundle/Manager/CsvExporterManager.php(148): League\\Csv\\Writer->insertOne(Array)\n#2 /var/www/html/csv-exporter/src/AppBundle/Manager/CsvExporterManager.php(26): AppBundle\\Manager\\CsvExporterManager::generateCsv(Array, Array, Array)\n#3 /var/www/html/csv-exporter/src/AppBundle/Controller/DefaultController.php(53): AppBundle\\Manager\\CsvExporterManager::getCsv(Array, Array)\n#4 /var/www/html/csv-exporter/vendor/symfony/symfony/src/Symfony/Component/HttpKernel/HttpKernel.php(151): AppBundle\\Controller\\DefaultController->getAction(Object(Symfony\\Component\\HttpFoundation\\Request))\n#5 /var/www/html/csv-exporter/vendor/symfony/symfony/src/Symfony/Component/HttpKernel/HttpKernel.php in /var/www/html/csv-exporter/vendor/league/csv/src/Stream.php on line 306
